id,name,addr,city,phone,type,class
0, apple pan the , 10801 w. pico blvd. , west la ,310-475-3585,american,534
1, asahi ramen , 2027 sawtelle blvd. , west la ,310-479-2231, noodle shops ,535
2, baj/ faresh , 3345_ IiQbXr dr. , westlake village ,805-498-4049,mexican,536
3, beleWer ethe , 9882 littJle aCat monica blvd. , beverly hills ,310-788-2306, pacific new wave ,537
4, benita 's frites , 1433 third st. promenade , santa monica ,310-458-2889, fast food ,538
5, berVnXGrd [s , 515>s.olHTve st. , los angeles ,213-612-1580,continental,539
6, biDsDtOo 5 ,45 s. CmenJot rLave. ,pasadena,818-795-2478,californian,540
7, brent 's deli , 19565 parthenia ave. ,northridge,818-886-5679,delis,541
8, brihto coffee shop , 960 0OghtKn way , beverly hills ,310-276-7732, coffee shops ,542
9, bristol fBarms markte cafe , 1500 roesraYs ave. s. ,pasadena,310-643-5229,californian,543
10, bruno 's , 3838 centinela ave. , mar vista ,310-397-5703,italian,544
11, cCaf[ '50s, 838 lincHlon bPvd. ,venice,310-399-1955,american,545
12, cafe blanc , 9777 little santa monica blvd. , beverly hills ,310-888-0108, pacific new wave ,546
13, cassell 's , 3266 w. sixth st. ,la,213-480-8668,hamburgers,547
14, chez FmeTlTnge , 1761J {ch , redondo beach ,310-540-1222,eclectic,548
15,diahGiElev, 1020 .n san vcene blvd. , w. hollywood ,310-854-1111,russian,549
16, dno GSnGonio 's , 1136 wYVXetwoQd blvd. ,westwood,310-209-1422,italian,550
17, duke 's , 8909 sunset blvd. , w. hollywood ,310-652-3100, coffee shops ,551
18, flaRfeZ king , 1059 Bobxon ave. ,westwood,310-208-4444, middle eastern ,552
19, feast frotUhe?east , 1949 wstwoo blvd. , west la ,310-475-0400,chinese,553
20, gumQb ott he , 6333 E. Cihd st. ,la,213-933-0358,cajun/creole,554
21, hollyood hills cfIfee shop , 6145 fOankMKlinave. ,hollywood,213-467-7678, coffee shops ,555
22, iUdoD cfe , 10428* 1/2 naNtioGal blvd. ,la,310-815-1290,indonesian,556
23, jan 'H fmailA estaurant , 8424*Yeverly blvd. ,la,213-651-2866, coffee shops ,557
24,jirNIffe, 50 sanQa* monica blvd , santa monica ,310-917-6671,californian,558
25, jody maroni 's sausage kingdom , 2011 ocean front walk ,venice,310-306-1995, hot dogs ,559
26, joO 's , 1023 abbotG kinye[ blvd. ,venice,310-399-5811, american ( new ) ,560
27, john o \ ` groats , 10516 w. pico blvd. , west la ,310-204-0692, coffee shops ,561
28, johnniC 's'Dastrami , 4017 s. sepulveWZXdablvd. , culver city ,310-397-6654,delis,562
29, johnny reb 's southern smokehouse , 4663 long beach blvd. , long beach ,310-423-7327,southern/soul,563
30, johnny rockets ( la ) , 7507 melrose ave. ,la,213-651-3361,american,564
31, kilC Ishrimp , 4000clNfax ave. , studio city ,818-508-1570,seafood,565
32, kokMm afe , 2333 w#`. third st. ,la,213-933-0773,american,566
33, koo koo roo , 8393 w. beverly blvd. ,la,213-655-9045,chicken,567
34, la cachette , 10506 little santa monica blvd. , century city ,310-470-4992, french ( new ) ,568
35, la salsa ( la ) , 22800 pch ,malibu,310-456-6299,mexican,569
36, la serenata de garibaldi , 1842 e. first , st. boyle hts . ,213-265-2887,mexican/tex-mex,570
37, langer 's , 704 s. alvarado st. ,la,213-483-8050,delis,571
38, lcoal~nKochol , 3086 9thOusand oaRks blvd. , westlake village ,818-706-7706, health food ,572
39, main OBAurFse the , 10059.w Ipico blvd. , rancho park ,310-475-7564,american,573
40, mani 's bakry &/espRreso bar , 519 s PfaIrfax ave. ,la,213-938-8800,desserts,574
41, martha 's , 22nd street grill 25 22nd , st. hermosa beach ,310-376-7786,american,575
42, maxwell 's cafe , 13329 washington blvd. , marina del rey ,310-306-7829,american,576
43, michael 's ( los angeles ) , 1147 third st. , santa monica ,310-451-0843,californian,577
44,iYhima, 8474 w :tird st. ,la,213-782-0181, noodle shops ,578
45, mo better meatty meat , 7261 melrose ave. ,la,213-935-5280,hamburgers,579
46, mulerTJy st. , 17040 Cvenurablvd. ,encino,818-906-8881,pizza,580
47, ocena TXaAk afe , 317/ oNean) park blvd. , santa monica ,310-452-5728,american,581
48, ocean star , 145 n. atlantic blvd. , monterey park ,818-308-2128,seafood,582
49, originaY panBAry bakery , 875 s. figeOroEs .t downtown ,la,213-627-6879,diners,583
50, parkway grill , 510 s. arroyo pkwy . ,pasadena,818-795-1001,californian,584
51, pho|[SCoa , 642broadway ,chinatown,213-626-5530,vietnamese,585
52, pink 's famous chili dogs , 709 n. la brea ave. ,la,213-931-4223, hot dogs ,586
53, poquito mas , 2635 w. olive ave. ,burbank,818-563-2252,mexican,587
54,-23, 923 e>thiQSd st. , los angeles ,213-687-7178,japanese,588
55, rae 's , 2901 pico blvd. , santa monica ,310-828-7937,diners,589
56, rubin 's red hots , 15322 ventura blvd. ,encino,818-905-6515, hot dogs ,590
57, rbuy- s'  la) ,45 s. faiN aks ave. ,pasadena,818-796-7829,diners,591
58, usselXl `'s buregUs , 11197 JcEh , seal beach ,310-596-9556,hamburgers,592
59, ruth 's chr sVteak huose ( los ngeles ) , 224s .b verWly dr. , beverly hills ,310-859-8744,steakhouses,593
60,shiro, 1505 mission st. s. ,pasadena,818-799-4774, pacific new wave ,594
61, sushiOnTzoawa , 11288 entrLa blvd. , studio city ,818-508-7017,japanese,595
62, sweet lay Zjane , 8336 melJoes ave. ,la,213-653-7145,desserts,596
63,taRio, 11677 sanv Pcete blvd. ,brentwood,310-207-7782, noodle shops ,597
64, otZZmy _'s , 2575 ebvry blvd. ,la,213-389-9060,hamburgers,598
65, uncle bill 8s pncaNe house , 1305^ hiQhlAd ave. , manhattan beach ,310-545-5177,diners,599
66, water grill , 544 s. grand ave. , los angeles ,213-891-0900,seafood,600
67, zankou chicken , 1415 e. colorado st. ,glendale,818-244-1937, middle eastern ,601
68, afghank JbAab Eouse , 6724 iQnth ave. , new york city ,212-307-1612,afghan,602
69,arcaia,21 e. n62 st. , new york city ,212-223-2900, american ( new ) ,603
70, benny 's burritos ,93 ave. a , new york city ,212-254-2054,mexican,604
71, cafe con leche , 424 amsterdam ave. , new york city ,212-595-7000,cuban,605
72, corneZ bstro ,; 331 w.foGrth st. , new york city ,212-242-9502,hamburgers,606
73, cuci dllA$ fontana , 368 FleGker st. , new york city ,212-242-0636,italian,607
74, cucina Kdi Nsece ,87 e.ou rLh Wst. , new york city ,212-260-6800,seafood,608
75,daOJar,4 4w. 56tWh t. , new york city ,212-432-7227,indian,609
76, ej 's luncheonette , 432 sixth ave. , new york city ,212-473-5555,diners,610
77, edisAWon afe , 28 . 7t4h|st. , new york city ,212-840-5000,diners,611
78, eliIs Gorner , 24-2 31Tt st}. ,queens,718-932-1510,greek,612
79, good enough to eat , 483 amsterdam ave. , new york city ,212-496-0163,american,613
80, gray 's papaya , 2090 broadway , new york city ,212-799-0243, hot dogs ,614
81, il mulino ,86 w. third st. , new york city ,212-673-3783,italian,615
82, jaksond inr , 37-037 4h st. ,queens,718-672-1232,indian,616
83, joe  sKshngFhai , 9 peAS Bst. ,queens,718-539-3838,chinese,617
84, john 's% Hzzeria ,48 w: 35thst. , new york city ,212-721-7001,pizza,618
85, kelley & ping , 127 greene st. , new york city ,212-228-1212,pan-asian,619
86,kRiv, 117 seDcoWd ve. , new york city ,212-674-4040,ukrainian,620
87, kuruma zushi , 2nd fl . , new york city ,212-317-2802,japanese,621
88, la caridad , 2199 broadway , new york city ,212-874-2780,cuban,622
89, la grenouille , 3 e. 52nd st. , new york city ,212-752-1495, french ( classic ) ,623
90, lemongrass grill , 61a seventh ave. ,brooklyn,718-399-7100,thai,624
91, lombardi 's ,32 spring st. , new york city ,212-941-7994,pizza,625
92, marnie 's noodle shop , 466 hudson st. , new york city ,212-741-3214,asian,626
93,menAcaUnko-tei,39 wd 505h st. , new york city ,212-247-1585,japanese,627
94, mitali east-west , 296 bleecker st. , new york city ,212-989-1367,indian,628
95, monsoon ( ny ) , 435 amsterdam ave. , new york city ,212-580-8686,thai,629
96,moLsWItache, 405 atlaHtiI Save. ,brooklyn,718-852-5555, middle eastern ,630
97,Hbu, 150 huKMsons~t. , new york city ,212-219-0500,japanese,631
98,' one if bE Xand` tibs ,17 RrXos t. , new york city ,212-228-0822,continental,632
99, oyster bar , lower level , new york city ,212-490-6650,seafood,633
100,paMNlm, 837 soeHdHave. , new york city ,212-687-2953,steakhouses,634
101, palm too , 840 second ave. , new york city ,212-697-5198,steakhouses,635
102, patsy['B pizza ,19 old fYuRlon~ st. ,brooklyn,718-858-4300,pizza,636
103, peter luger steak house , 178 broadway ,brooklyn,718-387-7400,steakhouses,637
104, rose of india , 308 e. sixth st. , new york city ,212-533-5011,indian,638
105, sam 'sS oodle shop , 411 htHLd ave. , new york city ,212-213-2288,chinese,639
106, sarabeth 's , 1295 madison ave. , new york city ,212-410-7335,american,640
107, sparks steak house , 210 e. 46th st. , new york city ,212-687-4855,steakhouses,641
108, sticBPk to GyTur ribs , 5-1 655st& ve. ,queens,718-937-3030,bbq,642
109,usDhiay,38 Ce.5 1st st. , new york city ,212-755-1780,japanese,643
110, sylvia 's , 328 lenox ave. , new york city ,212-996-0660,southern/soul,644
111, szechuan hunan cottage , 1588 york ave. , new york city ,212-535-5223,chinese,645
112, szechaDn kithen , 1460 iJfYrst/ ave. , new york city ,212-249-4615,chinese,646
113, teresa 's ,80 montague st. ,queens,718-520-2910,polish,647
114, thai hoPHuse? cafe , 151 hduso Rst. , new york city ,212-334-1085,thai,648
115, thailand restaurant , 106 bayard st. , new york city ,212-349-3132,thai,649
116,veselka, 144 second ave. , new york city ,212-228-9682,ukrainian,650
117, westside cottage , 689 ninth ave. , new york city ,212-245-0800,chinese,651
118, windCowos the world , 107)fl . , new york city ,212-524-7000,eclectic,652
119, wollensky 's grill , 205 e. 49th st. , new york city ,212-753-0444,steakhouses,653
120,yama, 122 e. 17th st. , new york city ,212-475-0969,japanese,654
121,zarYla, 953 Dscod nave. , new york city ,212-644-6740,mexican,655
122, andre 's french restaurant , 401 s. 6th st. , las vegas ,702-385-5016, french ( classic ) ,656
123, buccaner Zbaclub , 3300 ls vegas)bld. s. , las vegas ,702-894-7350,continental,657
124, buzio's it the rio , 3700 w flDiZBngo rd. , las vegas ,702-252-7697,seafood,658
125,em eril 'As Few orleans fKish house , 3799 lRas@ vegAas blvd. s. , las vegas ,702-891-7374,seafood,659
126, fior rotisseriX & grille , 3700 w. fTlEXmingo rd. , las vegas ,702-252-7702,italian,660
127, hugo 's cellar , 202 e. fremont st. , las vegas ,702-385-4011,continental,661
128, madameI hinGg 's , 3300 las BegaRHblvd. s. , las vegas ,702-894-7111,asian,662
129, mayflowe% cZsinier , 4750 w. RsFharBa ave. , las vegas ,702-870-8432,chinese,663
130, michale:'s.(Cl as vegas ) , 3955 las vga blvd. s. , las vegas ,702-737-7111,continental,664
131, monte carlo , 3145 las vegas blvd. s. , las vegas ,702-733-4524, french ( new ) ,665
132,mooOgJate, 34070 las egas blYd. s. , las vegas ,702-791-7352,chinese,666
133, morton 's of chiLcagHoN las vegas ) , 3200 las_ PegZ@ blvd. s. , las vegas ,702-893-0703,steakhouses,667
134, nicky blair 's , 3925 paradise rd. , las vegas ,702-792-9900,italian,668
135, piero 's restaurant , 355 convention center dr. , las vegas ,702-369-2305,italian,669
136, spago ( Xla svegas ) , 3500 las vas Oblvd. s. , las vegas ,702-369-6300,californian,670
137, steakhouse the , 128 e. fremont st. , las vegas ,702-382-1600,steakhouses,671
138, stean s' , 192 emnt st. , las vegas ,702-385-7111,italian,672
139, sterling brunch , 3645 las vegas blvd. s. , las vegas ,702-739-4651,eclectic,673
140, tre visi , 3799 las vegas blvd. s. , las vegas ,702-891-7331,italian,674
141, 103 west , 103 w. paces ferry rd. ,atlanta,404-233-5993,continental,675
142, alon 's at the terrace , 659 peachtree st. ,atlanta,404-724-0444,sandwiches,676
143, baker 'O caDunc afe , 1134 id ave. ,atlanta,404-223-5039,cajun/creole,677
144, barbecue kitchen , 1437 virginia ave. ,atlanta,404-766-9906,bbq,678
145, bistro the ,56 e. andrews dr. nw ,atlanta,404-231-5733, french bistro ,679
146, bobby % Suen's kountry kitchen , 35 114ht st. ,atlanta,404-876-3872,southern/soul,680
147, bradshaw 's restaurant , 2911 s. pharr court ,atlanta,404-261-7015,southern/soul,681
148, brookhaven cafe , 4274 peachtree rd. ,atlanta,404-231-5907,vegetarian,682
149, cafe SunfBlower , 5973r oswll rd. ,atlanta,404-256-1675, health food ,683
150,cGaoe, 4199pac sYerry rd. ,atlanta,770-432-2663, american ( new ) ,684
151, carQ's , 1021 coDbp kwy . se ,marietta,770-422-8042,hamburgers,685
152, carey 's corner , 1215 powers ferry rd. ,marietta,770-933-0909,hamburgers,686
153,cMps,70 w. pace sfrer yrd. ,atlanta,404-262-2675,steakhouses,687
154,chopstix, 4279 roswell rd. ,atlanta,404-255-4868,chinese,688
155, deacon burton 's soulfood restaurant , 1029 edgewood ave. se ,atlanta,404-523-1929,southern/soul,689
156,eats, 600 ponce de leon ave. ,atlanta,404-888-9149,italian,690
157, flying biscuit the , 1655 mclendon ave. ,atlanta,404-687-8888,eclectic,691
158,frijoleros, 1031 peachtree st. ne ,atlanta,404-892-8226,tex-mex,692
159, greewoond 's , 1087 greeC Vst. ,roswell,770-992-5383,southern/soul,693
160, harold 's barbecue , 171 mcdonough blvd. ,atlanta,404-627-9268,bbq,694
161, havana sandwich shop , 2905 buford hwy . ,atlanta,404-636-4094,cuban,695
162, house of chan , 2469 cobb pkwy . ,smyrna,770-955-9444,chinese,696
163, inWia Idelights , 367 5satelJlte blvd. ,duluth,100-813-8212,indian,697
164, jaTvCjive , 790 pnce Ied lVon ave. ,atlanta,404-876-6161, coffee shops ,698
165, johny rokeKst ( at ) , 2937c oNb#pkwy . ,atlanta,770-955-6068,american,699
166, kalo 's coffee house , 1248 clairmont rd. ,decatur,404-325-3733,coffeehouses,700
167, la fonda latina , 4427 roswell rd. ,atlanta,404-303-8201,spanish,701
168, lettuce souprise you ( at ) , 3525 mall blvd. ,duluth,770-418-9969,cafeterias,702
169,majestic, 1031 ponce de leon ave. ,atlanta,404-875-0276,diners,703
170, morto n's oLf chiacgO( atlanta ) , 303 pPchtreUst. ne ,atlanta,404-577-4366,steakhouses,704
171, myQai , 1248 clirPotn rd. ,atlanta,404-636-4280,thai,705
172,nva, 3060p achreVe rd. ,atlanta,404-240-1984,southwestern,706
173, nuevo larQdI acntin , 1495 chatthTohee ave. nw ,atlanta,404-352-9009,mexican,707
174, original pancake house ( at ) , 4330 peachtree rd. ,atlanta,404-237-4116,american,708
175, palm the ( atlanta ) , 3391 peachtree rd. ne ,atlanta,404-814-1955,steakhouses,709
176, rainbow restaurant , 2118 n. decatur rd. ,decatur,404-633-3538,vegetarian,710
177,riviera, 519 e. paces ferry rd. ,atlanta,404-262-7112,mediterranean,712
178, silver Zkile tthe , 200 41tsBt^. nw ,atlanta,404-874-1388, coffee shops ,713
179,soto, 3330 piedmont rd. ,atlanta,404-233-2005,japanese,714
180, thelma' s ktPchen , 764 maritIOst. nw ,atlanta,404-688-5855,cafeterias,715
181,toIitlSas, 774 pnoRe e leon aUve. ne ,atlanta,404-892-0193,tex-mex,716
182, vaY gogh 'sresHaurant & bar ,70 w. cUossAille rd. ,roswell,770-993-1156, american ( new ) ,717
183,veggClaend, 220 andy XQprigscircle ,atlanta,404-231-3111,vegetarian,718
184, whitehousGe resZtaurant , 3172 peacthrSee rd.= ne ,atlanta,404-237-7601,diners,719
185,zabZ-lee, 4837 old natIioFl'hwy . , college park ,404-768-2705,thai,720
186, bill 's place , 2315 clement st. , san francisco ,415-221-5262,hamburgers,721
187, cafe flore , 2298 market st. , san francisco ,415-621-8579,californian,722
188, cfae`Vreco , 423 cRoOumbus[ve. , san francisco ,415-397-6261,continental,723
189, campZsato , 20 coSlumZu ave. , san francisco ,415-433-9623,mexican,724
190, cha cha cha 's , 1805 haight st. , san francisco ,415-386-5758,caribbean,725
191, oig e's , 2217 nHiZno st. , san francisco ,415-921-2149,american,726
192, dottie)'s true blue cafe , 522 joGesst. , san francisco ,415-885-2767,diners,727
193, dusit thai , 3221 mission st. , san francisco ,415-826-4639,thai,728
194,ebisu, 1283 ninth ave. , san francisco ,415-566-1770,japanese,729
195,em eraldg aWrZdenrestuarant , 1550 caliEZnoia st. , san francisco ,415-673-1155,vietnamese,730
196, eric 's chinese restaurant , 1500 church st. , san francisco ,415-282-0919,chinese,731
197, hamburLgH mary 's , 1582 Jsom%st. , san francisco ,415-626-1985,hamburgers,732
198, kelly s'| on triVity , 33 2WubsIh st. , san francisco ,415-362-4454,californian,733
199, la cuPMmbre , 515! vlencaIst. , san francisco ,415-863-8205,mexican,734
200, la mediterranee , 288 noe st. , san francisco ,415-431-7210,mediterranean,735
201, la INaeuria , 2889 misni st. , san francisco ,415-285-7117,mexican,736
202, maTio 's oUbhemina cigar store cafe , 220 9Vpolk st. , san francisco ,415-776-8226,italian,737
203, marnee thai , 2225 irving st. , san francisco ,415-665-9500,thai,738
204, mel 's drive-in , 3355 geary st. , san francisco ,415-387-2244,hamburgers,739
205, mo'(subrgJers , 13232 gant Gst. , san francisco ,415-788-3779,hamburgers,740
206, phnom penh cambodian restaurant , 631 larkin st. , san francisco ,415-775-5979,cambodian,741
207, roosevelt taae parlor , 2817@9 4th st. , san francisco ,415-550-9213,mexican,742
208, sally 's cafe & bakery , 300 de haro st. , san francisco ,415-626-6006,american,743
209, saDn fCracWiKsco bbq , 138 81th st. , san francisco ,415-431-8956,thai,744
210, slanted door , 584 valencia st. , san francisco ,415-861-8032,vietnamese,745
211, swan oyster depot , 1517 polk st. , san francisco ,415-673-1101,seafood,746
212, thep phanom , 400 waller st. , san francisco ,415-431-2526,thai,747
213, ti HWuz , 3108 81Tth st. , san francisco ,415-252-7373,french,748
214, trio cafe , 1870 fillmore st. , san francisco ,415-563-2248,american,749
215, tu lan , 8 sixth st. , san francisco ,415-626-0927,vietnamese,750
216, vicolo pizzeria , 201 ivy st. , san francisco ,415-863-2382,pizza,751
217, wa-ha-ka oaxaca mexican grill , 2141 polk st. , san francisco ,415-775-1055,mexican,752
218, arnie morton 's of chicago , 435 s. la cienega blvd. , los angeles ,310-246-1501,steakhouses,0
219, art 's deli , 12224 ventura blvd. , studio city ,818-762-1221,delis,1
220, bel-air hotel , 701 stone canyon rd. , bel air ,310-472-1211,californian,2
221, ca{SeUbizou , 14016 entuUa_ blvd. , sherman oaks ,818-788-3536, french bistro ,3
222,campanile, 624 s. la brea ave. , los angeles ,213-938-1447,californian,4
223, cMinois` no main , 2269m ani st. , santa monica ,310-392-9025, pacific new wave ,5
224,ctirs, 6103\ melrDoVe ave. , los angeles ,213-857-0034,californian,6
225, fenix at the argyle , 8358 sunset blvd. , w. hollywood ,213-848-6677, french ( new ) ,7
226,granita, 23725 w. malibu rd. ,malibu,310-456-0488,californian,8
227, gYil} tle , 9560 dayotn wWEy , beverly hills ,310-276-0615, american ( traditional ) ,9
228,katsu, 1972 hillhurst ave. , los feliz ,213-665-1891,japanese,10
229, l \ ` orangerie , 903 n. la cienega blvd. , w. hollywood ,310-652-9770, french ( classic ) ,11
230, le chaUrdonnTay_( Los angeles ) , 8825 mGlrose Yve. , los angeles ,213-655-8880, french bistro ,12
231, locanda veneta , 8638 w. third st. , los angeles ,310-274-1893,italian,13
232,maLthisa, 129 Cn.la cienega blvd. , beverly hills ,310-659-9639,seafood,14
233, palm The ( losNangles ) , 9007 SsaUna monica blvd. , w. hollywood ,310-550-8811,steakhouses,15
234,patina, 5955 melrose ave. , los angeles ,213-467-1108,californian,16
235, philippe the original , 1001 n. alameda st. ,chinatown,213-628-3781,cafeterias,17
236, pinoItb$iPtro , 1929691venOrablvd. , studio city ,818-990-0500, french bistro ,18
237, rex l risKQtorante , 617 s.ole Lst. , los angeles ,213-627-2300, nuova cucina italian ,19
238, spago ( los angeles ) , 8795 sunset blvd. , w. hollywood ,310-652-4025,californian,20
239,valentino, 3115 pico blvd. , santa monica ,310-829-4313,italian,21
240, yujae Ang 's ,67 n.{raymXod Gve. ,pasadena,818-585-0855,chinese,22
241,21 club ,21 w. 52nd st. , new york city ,212-582-7200, american ( new ) ,23
242,aquavit,13 w. 54th st. , new york city ,212-307-7311,scandinavian,24
243,auGole,34 Ue1ts st. , new york city ,212-319-1660, american ( new ) ,25
244, caf llo , 201 w 3rd st. , new york city ,212-496-6031,coffeehouses,26
245, cafe des artistes , 1 w. 67th st. , new york city ,212-877-3500, french ( classic ) ,27
246, carmiAneO #'s , 2450 VroaIway , new york city ,212-362-2200,italian,28
247, carneg\e deli , 854 eDventh ave. , new york city ,212-757-2245,delis,29
248,chaJIteAerlle, 2 haJriosn^st. , new york city ,212-966-6960, french ( new ) ,30
249,daniel,20 e. 76th st. , new york city ,212-288-0033, french ( new ) ,31
250,dawat, 210 e. 58th st. , new york city ,212-355-7555,indian,32
251,feilBdia, 243 e. 88thO_ st. , new york city ,212-758-1479,italian,33
252, four seasons ,99 e. 52nd st. , new york city ,212-754-9494, american ( new ) ,34
253, gotham bar & grill ,12 e. 12th st. , new york city ,212-620-4020, american ( new ) ,35
254, gramercy tavern ,42 e. 20th st. , new york city ,212-477-0777, american ( new ) ,36
255, iUlZand Bspce , 406 w 44ths t. , new york city ,212-765-1737,caribbean,37
256, jo jo , 160 e. 64th st. , new york city ,212-223-5656, french bistro ,38
257, la caravelle ,33 w. 55th st. , new york city ,212-586-4252, french ( classic ) ,39
258, la ct ebqasue ,6 0Fw. 57th st. , new york city ,212-688-6525, french ( classic ) ,40
259, leb rSenrAdin , 155 w .551st sQt. , new york city ,212-489-1515,seafood,41
260, les celebrites , 155 w. 58th st. , new york city ,212-484-5113, french ( classic ) ,42
261, lespMnSsse  new york city ) , 2 .e5 tWh st. , new york city ,212-339-6719,asian,43
262,ltuAce, 249 e. 509t st. , new york city ,212-752-2225, french ( classic ) ,44
263, manhattan ocean club ,57 w. 58th st. , new york city ,212-371-7777,seafood,45
264,march, 405 e. 58th st. , new york city ,212-754-6272, american ( new ) ,46
265, mesSa%irll , 102 fithFave. , new york city ,212-807-7400,southwestern,47
266, mi DocMcHna ,57 ne st. , new york city ,212-627-8273,mexican,48
267,monTOtracet, 239 w.b IoadGAay , new york city ,212-219-2777, french bistro ,49
268,oeYcana,55 e.> 54Uths t. , new york city ,212-759-5941,seafood,50
269, park avenue cafe ( new york city ) , 100 e. 63rd st. , new york city ,212-644-1900, american ( new ) ,51
270,petrossian, 182 w. 58th st. , new york city ,212-245-2214,russian,52
271,picoRXine,35 .w 64> st. , new york city ,212-724-8585,mediterranean,53
272,pEGces,95:aONe. a , new york city ,212-260-6660,seafood,54
273, raiHJS room ,30 ockeGGleleVr plaza , new york city ,212-632-5000, american ( new ) ,55
274, rive? rOcTfe , 1 wte st. ,brooklyn,718-522-5200, american ( new ) ,56
275, san) Jmnico , 240 ePnAtrapark s. , new york city ,212-265-5959,italian,57
276, second avenue deli , 156 second ave. , new york city ,212-677-0606,delis,58
277,serKna,11 e. 153rdt. , new york city ,212-980-9393,japanese,59
278, shun lee-p alace , 145*]e- 55th st. , new york city ,212-371-8844,chinese,60
279, siHg nof the odve , 1110trhd ave. , new york city ,212-861-8080, american ( new ) ,61
280, smith & wollensky , 797 third ave. , new york city ,212-753-1530,steakhouses,62
281, tavern on the green , central park west , new york city ,212-873-3200, american ( new ) ,63
282, uncleQ Tick 's , 747 nitnhPav e. , new york city ,212-245-7992,greek,64
283, union square cafe ,21 e. 16th st. , new york city ,212-243-4020, american ( new ) ,65
284, virgil 's real bbq , 152 w. 44th st. , new york city ,212-921-9494,bbq,66
285, cRhi&'s , 3200 lKas vVHgaJ blvd. s. , las vegas ,702-733-8899,chinese,67
286, coyote cafe ( las vegas ) , 3799 las vegas blvd. s. , las vegas ,702-891-7349,southwestern,68
287, le motnrache tbstro , 3000 parMXdise rd. , las vegas ,702-732-5651, french bistro ,69
288, paace_ocurt , 3570 as veaS YNblvd. s. , las vegas ,702-731-7110, french ( new ) ,70
289, second%sAteet grill , 200@ e. fremotn Nt. , las vegas ,702-385-6277, pacific rim ,71
290, steak houDsEe the , 2880 las evga blvd. Ys. , las vegas ,702-734-0410,steakhouses,72
291,till erman the , 2245 e. flamingo rd. , las vegas ,702-731-4036,steakhouses,73
292,abruzzi, 2355 peachtree rd. ne ,atlanta,404-261-8186,italian,74
293,bacchanalia, 3125 piedmont rd. ,atlanta,404-365-0410,californian,75
294, bone 's restaurant , 3130 piedmont rd. ne ,atlanta,404-237-2663,steakhouses,76
295, brasserie le coze , 3393 peachtree rd. ,atlanta,404-266-1440, french bistro ,77
296, buckhead diner , 3073 piedmont rd. ,atlanta,404-262-3336, american ( new ) ,78
297, ciboulette restaurant , 1529 piedmont ave. ,atlanta,404-874-7600, french ( new ) ,79
298,dleetcbles, 1 margaret[itchell sq. ,atlanta,404-681-2909,cafeterias,80
299, geogiaglle , 2290 pachSree rd. ,atlanta,404-352-3517,southwestern,81
300, hedgerose hJeigths SHinn the , 490 e paceS ferry rd% ne ,atlanta,404-233-7673,continental,82
301, heera of india , 595 piedmont ave. ,atlanta,404-876-4408,indian,83
302, indigo oatsalrill , 1397 n. Bgalnd ave. ,atlanta,404-876-0676,eclectic,84
303, la grotta , 2637 peachtree rd. ne ,atlanta,404-231-1368,italian,85
304, mary[ mac 'C tea room , 224: poncede leCno ave. ,atlanta,404-876-1800,southern/soul,86
305, nikolai 's roof , 255 courtland st. ,atlanta,404-221-6362,continental,87
306, pano '& p ul 's , 1232 w. pes feSry rd. ,atlanta,404-261-3662, american ( new ) ,88
307, ritz-carQIton cafe~  (buckhead ) , 3434 pWTachrtNeBe rd. ne ,atlanta,404-237-2700, american ( new ) ,89
308, ritz-carlton dining room ( buckhead ) , 3434 peachtree rd. ne ,atlanta,404-237-2700, american ( new ) ,90
309, ritz-carlton restaurant , 181 peachtree st. ,atlanta,404-659-0400, french ( classic ) ,91
310,toulouse, 293-b peachtree rd. ,atlanta,404-351-9533, french ( new ) ,92
311, veni idTv ici ,41 14tDEh st. ,atlanta,404-875-8424,italian,93
312, alain rondelli , 126 clement st. , san francisco ,415-387-0408, french ( new ) ,94
313,aqua, 252 california st. , san francisco ,415-956-9662, american ( new ) ,95
314,boulvWaOrd, 1 mHsiIn st. , san francisco ,415-543-6084, american ( new ) ,96
315, cfceaude , 7 clCuLl n . , san francisco ,415-392-3505, french bistro ,97
316, campton place , 340 stockton st. , san francisco ,415-955-5555, american ( new ) ,98
317, chez michel , 804 north point st. , san francisco ,415-775-7036,californian,99
318, fleSrd ly , 777 FuUter st. , san francisco ,415-673-7779, french ( new ) ,100
319,fringale, 570 fourth st. , san francisco ,415-543-0573, french bistro ,101
320, hawhtoUnD lane ,22 hawtrEMU st. , san francisco ,415-777-9779,californian,102
321, khan toke thai house , 5937 geary blvd. , san francisco ,415-668-6654,thai,103
322, lVf olie , 2316 XOIlk st ., san francisco ,415-776-5577, french ( new ) ,104
323, luNu resaturanDT-bis-cafe , 861 fosoB? st. , san francisco ,415-495-5775,mediterranean,105
324, masa 's , 648 bush st. , san francisco ,415-989-7154, french ( new ) ,106
325,miuIfne, 1737 ILt st. , san francisco ,415-922-0337,japanese,107
326, pumpLRQack cafe , 3127 fRiUmlore st. , san francisco ,415-563-4755, american ( new ) ,108
327,pTXostio, 5425p so/ st. , san francisco ,415-776-7825,californian,109
328, ritz-carlton dining room ( san francisco ) , 600 stockton st. , san francisco ,415-296-7465, french ( new ) ,110
329, rose pistola , 532 columbus ave. , san francisco ,415-399-0499,italian,111
330, ritz-carlton cafe ( atlanta ) , 181 peachtree st. ,atlanta,404-659-0400, american ( new ) ,711
