_id,ltable_id,rtable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,rtable_name,rtable_addr,rtable_city,rtable_phone,gold
33,0,92,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` marnie \ 's noodle shop ',' 466 hudson st. ',` new york city ',212-741-3214,0
87,0,282,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` uncle nick \ 's ',' 747 ninth ave. ',` new york city ',212-245-7992,0
95,0,324,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,0
108,1,31,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` killer shrimp ',' 4000 colfax ave. ',` studio city ',818-508-1570,0
118,1,58,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` russell \ 's burgers ',' 1198 pch ',` seal beach ',310-596-9556,0
136,1,122,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` andre \ 's french restaurant ',' 401 s. 6th st. ',` las vegas ',702-385-5016,0
145,1,138,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` stefano \ 's ',' 129 fremont st. ',` las vegas ',702-385-7111,0
150,1,151,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,` carey \ 's ',' 1021 cobb pkwy . se ',marietta,770-422-8042,0
195,3,148,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,0
274,9,227,` grill on the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,` grill the ',' 9560 dayton way ',` beverly hills ',310-276-0615,0
341,13,54,` locanda veneta ',' 3rd st. ',` los angeles ',310/274 -1893,r-23,' 923 e. third st. ',` los angeles ',213-687-7178,0
384,15,237,` the palm ',' 9001 santa monica blvd. ',` los angeles ',310/550 -8811,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,0
435,17,80,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,0
487,17,218,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,0
575,22,43,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` michael \ 's ( los angeles ) ',' 1147 third st. ',` santa monica ',310-451-0843,0
579,22,56,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,0
609,22,142,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` alon \ 's at the terrace ',' 659 peachtree st. ',atlanta,404-724-0444,0
614,22,152,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,0
624,22,191,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` doidge \ 's ',' 2217 union st. ',` san francisco ',415-921-2149,0
626,22,196,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,` eric \ 's chinese restaurant ',' 1500 church st. ',` san francisco ',415-282-0919,0
739,28,70,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` benny \ 's burritos ','93 ave. a ',` new york city ',212-254-2054,0
769,28,159,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,0
778,28,192,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` dottie \ 's true blue cafe ',' 522 jones st. ',` san francisco ',415-885-2767,0
786,28,218,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,0
890,47,302,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404-876-0676,0
902,51,71,` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,` cafe con leche ',' 424 amsterdam ave. ',` new york city ',212-595-7000,0
976,60,141,` shun lee west ','43 w. 65th st. ',` new york ',212/371 -8844,' 103 west ',' 103 w. paces ferry rd. ',atlanta,404-233-5993,0
1049,64,43,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',` new york ',212/315 -1726,` michael \ 's ( los angeles ) ',' 1147 third st. ',` santa monica ',310-451-0843,0
1060,64,80,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',` new york ',212/315 -1726,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,0
1109,64,282,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',` new york ',212/315 -1726,` uncle nick \ 's ',' 747 ninth ave. ',` new york city ',212-245-7992,0
1190,66,133,` virgil \ 's ',' 152 w. 44th st. ',` new york ',' 212 / 921-9494 ',` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,0
1226,66,304,` virgil \ 's ',' 152 w. 44th st. ',` new york ',' 212 / 921-9494 ',` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404-876-1800,0
1244,67,41,` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,` martha \ 's ',' 22nd street grill 25 22nd ',` st. hermosa beach ',310-376-7786,0
1285,67,139,` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,0
1370,68,274,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,` river cafe ',' 1 water st. ',brooklyn,718-522-5200,0
1397,69,136,` le montrachet ',' 3000 w. paradise rd. ',` las vegas ',702/732 -5111,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,0
1429,70,138,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` stefano \ 's ',' 129 fremont st. ',` las vegas ',702-385-7111,0
1484,72,132,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,0
1495,72,174,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,0
1553,74,170,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,` morton \ 's of chicago ( atlanta ) ',' 303 peachtree st. ne ',atlanta,404-577-4366,0
1601,75,157,bacchanalia,' 3125 piedmont rd. . near peachtree rd. ',atlanta,404/365 -0410,` flying biscuit the ',' 1655 mclendon ave. ',atlanta,404-687-8888,0
1768,76,311,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,` veni vidi vici ','41 14th st. ',atlanta,404-875-8424,0
1779,77,149,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',atlanta,404/266 -1440,` cafe sunflower ',' 5975 roswell rd. ',atlanta,404-256-1675,0
1869,78,295,` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,0
1877,78,303,` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,0
1891,79,145,ciboulette,' 1529 piedmont ave. ',atlanta,404/874 -7600,` bistro the ','56 e. andrews dr. nw ',atlanta,404-231-5733,0
1910,79,171,ciboulette,' 1529 piedmont ave. ',atlanta,404/874 -7600,` my thai ',' 1248 clairmont rd. ',atlanta,404-636-4280,0
1934,79,304,ciboulette,' 1529 piedmont ave. ',atlanta,404/874 -7600,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404-876-1800,0
2020,81,167,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,` la fonda latina ',' 4427 roswell rd. ',atlanta,404-303-8201,0
2056,82,141,` hedgerose heights inn ',' 490 e. paces ferry rd. ',atlanta,404/233 -7673,' 103 west ',' 103 w. paces ferry rd. ',atlanta,404-233-5993,0
2064,82,149,` hedgerose heights inn ',' 490 e. paces ferry rd. ',atlanta,404/233 -7673,` cafe sunflower ',' 5975 roswell rd. ',atlanta,404-256-1675,0
2151,83,279,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,` sign of the dove ',' 1110 third ave. ',` new york city ',212-861-8080,0
2170,83,310,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,0
2182,84,146,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,` bobby & june \ 's kountry kitchen ',' 375 14th st. ',atlanta,404-876-3872,0
2219,84,294,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,` bone \ 's restaurant ',' 3130 piedmont rd. ne ',atlanta,404-237-2663,0
2272,85,175,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,0
2362,86,148,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,0
2407,86,219,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,` art \ 's deli ',' 12224 ventura blvd. ',` studio city ',818-762-1221,0
2559,87,308,` nikolai \ 's roof ',' 255 courtland st. at harris st. ',atlanta,404/221 -6362,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,0
2591,88,76,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,` ej \ 's luncheonette ',' 432 sixth ave. ',` new york city ',212-473-5555,0
2677,88,298,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,delectables,' 1 margaret mitchell sq. ',atlanta,404-681-2909,0
2733,89,179,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,soto,' 3330 piedmont rd. ',atlanta,404-233-2005,0
2795,90,169,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,majestic,' 1031 ponce de leon ave. ',atlanta,404-875-0276,0
2802,90,177,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,riviera,' 519 e. paces ferry rd. ',atlanta,404-262-7112,0
2807,90,183,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,veggieland,' 220 sandy springs circle ',atlanta,404-231-3111,0
2948,92,307,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,0
2975,93,169,` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,majestic,' 1031 ponce de leon ave. ',atlanta,404-875-0276,0
3089,95,215,aqua,' 252 california st. ',` san francisco ',415/956 -9662,` tu lan ',' 8 sixth st. ',` san francisco ',415-626-0927,0
3133,96,209,boulevard,' 1 mission st. ',` san francisco ',415/543 -6084,` san francisco bbq ',' 1328 18th st. ',` san francisco ',415-431-8956,0
3224,97,323,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,` lulu restaurant-bis-cafe ',' 816 folsom st. ',` san francisco ',415-495-5775,0
3226,97,325,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,mifune,' 1737 post st. ',` san francisco ',415-922-0337,0
3231,97,330,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,0
3274,98,322,` campton place ',' 340 stockton st. ',` san francisco ',415/955 -5555,` la folie ',' 2316 polk st. ',` san francisco ',415-776-5577,0
3297,99,200,` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,` la mediterranee ',' 288 noe st. ',` san francisco ',415-431-7210,0
3382,100,328,` fleur de lys ',' 777 sutter st. ',` san francisco ',415/673 -7779,` ritz-carlton dining room ( san francisco ) ',' 600 stockton st. ',` san francisco ',415-296-7465,0
3442,102,194,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415/777 -9779,ebisu,' 1283 ninth ave. ',` san francisco ',415-566-1770,0
3626,105,204,lulu,' 816 folsom st. ',` san francisco ',415/495 -5775,` mel \ 's drive-in ',' 3355 geary st. ',` san francisco ',415-387-2244,0
3654,105,326,lulu,' 816 folsom st. ',` san francisco ',415/495 -5775,` plumpjack cafe ',' 3127 fillmore st. ',` san francisco ',415-563-4755,0
3674,106,43,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` michael \ 's ( los angeles ) ',' 1147 third st. ',` santa monica ',310-451-0843,0
3692,106,106,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` sarabeth \ 's ',' 1295 madison ave. ',` new york city ',212-410-7335,0
3705,106,138,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` stefano \ 's ',' 129 fremont st. ',` las vegas ',702-385-7111,0
3712,106,155,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` deacon burton \ 's soulfood restaurant ',' 1029 edgewood ave. se ',atlanta,404-523-1929,0
3730,106,197,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` hamburger mary \ 's ',' 1582 folsom st. ',` san francisco ',415-626-1985,0
3740,106,207,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` roosevelt tamale parlor ',' 2817 24th st. ',` san francisco ',415-550-9213,0
3745,106,212,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,` thep phanom ',' 400 waller st. ',` san francisco ',415-431-2526,0
3803,107,209,` mifune japan center kintetsu building ',' 1737 post st. ',` san francisco ',415/922 -0337,` san francisco bbq ',' 1328 18th st. ',` san francisco ',415-431-8956,0
3810,107,216,` mifune japan center kintetsu building ',' 1737 post st. ',` san francisco ',415/922 -0337,` vicolo pizzeria ',' 201 ivy st. ',` san francisco ',415-863-2382,0
3846,108,189,` plumpjack cafe ',' 3201 fillmore st. ',` san francisco ',415/563 -4755,` campo santo ',' 240 columbus ave. ',` san francisco ',415-433-9623,0
3850,108,193,` plumpjack cafe ',' 3201 fillmore st. ',` san francisco ',415/563 -4755,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,0
3936,109,314,postrio,' 545 post st. ',` san francisco ',415/776 -7825,boulevard,' 1 mission st. ',` san francisco ',415-543-6084,0
3960,110,184,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,0
3983,110,208,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,` sally \ 's cafe & bakery ',' 300 de haro st. ',` san francisco ',415-626-6006,0
4014,110,326,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,` plumpjack cafe ',' 3127 fillmore st. ',` san francisco ',415-563-4755,0
4114,115,125,` adriano \ 's ristorante ',' 2930 beverly glen circle ',` los angeles ',310/475 -9807,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,0
4230,122,66,` ca \ ` del sol ',' 4100 cahuenga blvd. ',` los angeles ',818/985 -4669,` water grill ',' 544 s. grand ave. ',` los angeles ',213-891-0900,0
4253,123,149,` cafe pinot ',' 700 w. fifth st. ',` los angeles ',213/239 -6500,` cafe sunflower ',' 5975 roswell rd. ',atlanta,404-256-1675,0
4316,125,59,` canter \ 's ',' 419 n. fairfax ave. ',` los angeles ',213/651 -2030 .,` ruth \ 's chris steak house ( los angeles ) ',' 224 s. beverly dr. ',` beverly hills ',310-859-8744,0
4335,125,125,` canter \ 's ',' 419 n. fairfax ave. ',` los angeles ',213/651 -2030 .,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,0
4360,125,196,` canter \ 's ',' 419 n. fairfax ave. ',` los angeles ',213/651 -2030 .,` eric \ 's chinese restaurant ',' 1500 church st. ',` san francisco ',415-282-0919,0
4477,131,231,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` locanda veneta ',' 8638 w. third st. ',` los angeles ',310-274-1893,0
4499,133,37,` drai \ 's ',' 730 n. la cienega blvd. ',` los angeles ',310/358 -8585,` langer \ 's ',' 704 s. alvarado st. ',la,213-483-8050,0
4568,133,237,` drai \ 's ',' 730 n. la cienega blvd. ',` los angeles ',310/358 -8585,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,0
4622,136,55,` ed debevic \ 's ',' 134 n. la cienega ',` los angeles ',310/659 -1952,` rae \ 's ',' 2901 pico blvd. ',` santa monica ',310-828-7937,0
4682,136,231,` ed debevic \ 's ',' 134 n. la cienega ',` los angeles ',310/659 -1952,` locanda veneta ',' 8638 w. third st. ',` los angeles ',310-274-1893,0
4755,138,142,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,` alon \ 's at the terrace ',' 659 peachtree st. ',atlanta,404-724-0444,0
4765,138,170,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,` morton \ 's of chicago ( atlanta ) ',' 303 peachtree st. ne ',atlanta,404-577-4366,0
4844,139,147,` gladstone \ 's ',' 4 fish 17300 pacific coast hwy . at sunset blvd. ',` pacific palisades ',310/454 -3474,` bradshaw \ 's restaurant ',' 2911 s. pharr court ',atlanta,404-261-7015,0
4911,140,286,` hard rock cafe ',' 8600 beverly blvd. ',` los angeles ',310/276 -7605,` coyote cafe ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7349,0
4957,141,113,` harry \ 's bar & american grill ',' 2020 ave. of the stars ',` los angeles ',310/277 -2333,` teresa \ 's ','80 montague st. ',queens,718-520-2910,0
4970,141,143,` harry \ 's bar & american grill ',' 2020 ave. of the stars ',` los angeles ',310/277 -2333,` baker \ 's cajun cafe ',' 1134 euclid ave. ',atlanta,404-223-5039,0
4979,141,170,` harry \ 's bar & american grill ',' 2020 ave. of the stars ',` los angeles ',310/277 -2333,` morton \ 's of chicago ( atlanta ) ',' 303 peachtree st. ne ',atlanta,404-577-4366,0
5018,142,54,` il fornaio cucina italiana ',' 301 n. beverly dr. ',` los angeles ',310/550 -8330,r-23,' 923 e. third st. ',` los angeles ',213-687-7178,0
5050,143,55,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` rae \ 's ',' 2901 pico blvd. ',` santa monica ',310-828-7937,0
5207,144,222,` jackson \ 's farm ',' 439 n. beverly drive ',` los angeles ',310/273 -5578,campanile,' 624 s. la brea ave. ',` los angeles ',213-938-1447,0
5270,145,134,` jimmy \ 's ',' 201 moreno dr. ',` los angeles ',310/552 -2394,` nicky blair \ 's ',' 3925 paradise rd. ',` las vegas ',702-792-9900,0
5408,149,159,` louise \ 's trattoria ',' 4500 los feliz blvd. ',` los angeles ',213/667 -0777,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,0
5486,151,54,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,r-23,' 923 e. third st. ',` los angeles ',213-687-7178,0
5494,151,66,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,` water grill ',' 544 s. grand ave. ',` los angeles ',213-891-0900,0
5496,151,76,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,` ej \ 's luncheonette ',' 432 sixth ave. ',` new york city ',212-473-5555,0
5498,151,83,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,` joe \ 's shanghai ',' 9 pell st. ',queens,718-539-3838,0
5555,151,294,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,` bone \ 's restaurant ',' 3130 piedmont rd. ne ',atlanta,404-237-2663,0
5572,152,37,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/274 -0101,` langer \ 's ',' 704 s. alvarado st. ',la,213-483-8050,0
5587,152,70,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/274 -0101,` benny \ 's burritos ','93 ave. a ',` new york city ',212-254-2054,0
5601,152,124,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/274 -0101,` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7697,0
5613,152,147,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/274 -0101,` bradshaw \ 's restaurant ',' 2911 s. pharr court ',atlanta,404-261-7015,0
5673,155,5,orleans,' 11705 national blvd. ',` los angeles ',310/479 -4187,` bernard \ 's ',' 515 s. olive st. ',` los angeles ',213-612-1580,0
5675,155,66,orleans,' 11705 national blvd. ',` los angeles ',310/479 -4187,` water grill ',' 544 s. grand ave. ',` los angeles ',213-891-0900,0
5699,157,10,` paty \ 's ',' 10001 riverside dr. ',` toluca lake ',818/761 -9126,` bruno \ 's ',' 3838 centinela ave. ',` mar vista ',310-397-5703,0
5707,157,29,` paty \ 's ',' 10001 riverside dr. ',` toluca lake ',818/761 -9126,` johnny reb \ 's southern smokehouse ',' 4663 long beach blvd. ',` long beach ',310-423-7327,0
5718,157,59,` paty \ 's ',' 10001 riverside dr. ',` toluca lake ',818/761 -9126,` ruth \ 's chris steak house ( los angeles ) ',' 224 s. beverly dr. ',` beverly hills ',310-859-8744,0
5723,157,80,` paty \ 's ',' 10001 riverside dr. ',` toluca lake ',818/761 -9126,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,0
5778,157,306,` paty \ 's ',' 10001 riverside dr. ',` toluca lake ',818/761 -9126,` pano \ 's & paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404-261-3662,0
5862,161,145,` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,` bistro the ','56 e. andrews dr. nw ',atlanta,404-231-5733,0
5867,161,155,` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,` deacon burton \ 's soulfood restaurant ',' 1029 edgewood ave. se ',atlanta,404-523-1929,0
5881,161,196,` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,` eric \ 's chinese restaurant ',' 1500 church st. ',` san francisco ',415-282-0919,0
5890,161,222,` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,campanile,' 624 s. la brea ave. ',` los angeles ',213-938-1447,0
5948,164,5,` roscoe \ 's house of chicken \ ` n \ ' waffles ',' 1514 n. gower st. ',` los angeles ',213/466 -9329,` bernard \ 's ',' 515 s. olive st. ',` los angeles ',213-612-1580,0
6031,164,219,` roscoe \ 's house of chicken \ ` n \ ' waffles ',' 1514 n. gower st. ',` los angeles ',213/466 -9329,` art \ 's deli ',' 12224 ventura blvd. ',` studio city ',818-762-1221,0
6037,164,237,` roscoe \ 's house of chicken \ ` n \ ' waffles ',' 1514 n. gower st. ',` los angeles ',213/466 -9329,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,0
6077,167,5,swingers,' 8020 beverly blvd. ',` los angeles ',213/653 -5858,` bernard \ 's ',' 515 s. olive st. ',` los angeles ',213-612-1580,0
6101,169,20,` the mandarin ',' 430 n. camden dr. ',` los angeles ',310/859 -0926,` gumbo pot the ',' 6333 w. third st. ',la,213-933-0358,0
6128,169,300,` the mandarin ',' 430 n. camden dr. ',` los angeles ',310/859 -0926,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,0
6184,170,152,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,0
6273,172,124,` trader vic \ 's ',' 9876 wilshire blvd. ',` los angeles ',310/276 -6345,` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7697,0
6318,172,285,` trader vic \ 's ',' 9876 wilshire blvd. ',` los angeles ',310/276 -6345,` chin \ 's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,0
6377,181,29,` alley \ 's end ',' 311 w. 17th st. ',` new york ',212/627 -8899,` johnny reb \ 's southern smokehouse ',' 4663 long beach blvd. ',` long beach ',310-423-7327,0
6447,181,305,` alley \ 's end ',' 311 w. 17th st. ',` new york ',212/627 -8899,` nikolai \ 's roof ',' 255 courtland st. ',atlanta,404-221-6362,0
6460,183,186,` american place ',' 2 park ave. at 32nd st. ',` new york ',212/684 -2122,` bill \ 's place ',' 2315 clement st. ',` san francisco ',415-221-5262,0
6482,186,57,` arturo \ 's ',' 106 w. houston st. off thompson st. ',` new york ',212/677 -3820,` ruby \ 's ( la ) ','45 s. fair oaks ave. ',pasadena,818-796-7829,0
